category,status,mls_number,price,listing_class,property_type,address,city,zip,area,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,WITHDRAWN,2528946,"$389,000",RESIDENTIAL,Detached,1427 Half Penny Loop,Conway,29526,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,3,2,0,$130
withdrawn,WITHDRAWN,2601824,"$396,900",RESIDENTIAL,Detached,600 Table Rock Court,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,3,2,0,$120
withdrawn,WITHDRAWN,2526015,"$399,000",RESIDENTIAL,Detached,1052 Agostino Dr.,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,4,3,0,$67
withdrawn,WITHDRAWN,2603765,"$399,900",RESIDENTIAL,Detached,203 Chickasaw Ln.,Myrtle Beach,29579,24A Myrtle Beach Area--south of 501 between West Ferry & Burcale,4,2,1,$28
withdrawn,WITHDRAWN,2513630,"$399,900",LAND,Commercial Lot - Sale,1342 Highway 90,Conway,29526,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,,,,
withdrawn,WITHDRAWN,2601386,"$399,999",CONDO/TOWNHOUSE,Condo,5300 N Ocean Blvd.,Myrtle Beach,29577,16D Myrtle Beach Area--48th Ave N to 79th Ave N,1,1,0,"$1,150"
withdrawn,WITHDRAWN,2521900,"$405,000",CONDO/TOWNHOUSE,Townhouse,6014 Catalina Dr.,North Myrtle Beach,29582,10C North Myrtle Beach Area--Barefoot Resort,4,3,1,$625
withdrawn,WITHDRAWN,2603258,"$405,000",RESIDENTIAL,Detached,130 Hancher Dr.,Myrtle Beach,29588,23A Conway Area--South of Conway between 501 & Wacc. River,4,3,0,$84
withdrawn,WITHDRAWN,2526597,"$409,900",CONDO/TOWNHOUSE,Condo,5507 Ocean Blvd. N,Myrtle Beach,29577,16D Myrtle Beach Area--48th Ave N to 79th Ave N,2,2,0,$616
withdrawn,WITHDRAWN,2604867,"$409,900",CONDO/TOWNHOUSE,Townhouse,5451 Knobcone Loop,Myrtle Beach,29577,16D Myrtle Beach Area--48th Ave N to 79th Ave N,3,2,1,$313
withdrawn,WITHDRAWN,2602776,"$409,900",RESIDENTIAL,Detached,403 Brandymill Blvd,Myrtle Beach,29588,19A Myrtle Beach Area--Socastee,3,3,0,$13
withdrawn,WITHDRAWN,2600778,"$415,000",RESIDENTIAL,Detached,597 Heritage Downs Dr.,Conway,29526,15A Conway Area--East edge of Conway south of Old Reaves Ferry Rd.,3,2,1,$103
withdrawn,WITHDRAWN,2521960,"$415,000",RESIDENTIAL,Detached,9016 Fort Hill Way,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,5,3,0,$120
withdrawn,WITHDRAWN,2601819,"$419,900",RESIDENTIAL,Detached,3725 Park Pointe Ave.,Little River,29566,04A Little River Area--South of Hwy 9,3,2,0,$84
withdrawn,WITHDRAWN,2505750,"$425,000",LAND,Acreage,183 Highway 66,Conway,29526,08A Loris to Conway Area--South of Loris above Rt 22,,,,
withdrawn,WITHDRAWN,2601382,"$435,000",CONDO/TOWNHOUSE,Townhouse,2409 Thoroughfare Dr.,North Myrtle Beach,29582,10C North Myrtle Beach Area--Barefoot Resort,4,2,1,$625
withdrawn,WITHDRAWN,2523513,"$439,900",RESIDENTIAL,Detached,254 Tall Palms Way,Little River,29566,04A Little River Area--South of Hwy 9,4,3,1,$105
withdrawn,WITHDRAWN,2522036,"$440,000",RESIDENTIAL,Detached,1063 Huger Park Ave.,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,5,3,0,$120
withdrawn,WITHDRAWN,2607751,"$443,800",RESIDENTIAL,Detached,8207 Timber Ridge Rd.,Conway,29526,23A Conway Area--South of Conway between 501 & Wacc. River,3,2,1,$20
withdrawn,WITHDRAWN,2414365,"$450,000",LAND,Acreage,TBD Daisy Rd.,Loris,29569,07A Loris to Longs Area--South of 9 between Loris & Longs,,,,
withdrawn,WITHDRAWN,2602215,"$453,074",RESIDENTIAL,Detached,3037 Claredon St,Longs,29568,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,3,2,0,$158
