category,mls_number,price,property_type,address,city,zip,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,2428392,"$12,094",Retail,12138 N Highway 17 Bypass,Murrells Inlet,29576,,,,
withdrawn,734191,"$12,264",Office,3705 Forestbrook Rd.,Myrtle Beach,29577,,,,
withdrawn,2023193,"$12,288",Hospitality,2461 Coastal Grand Circle,Myrtle Beach,29577,,,,
withdrawn,1508235,"$12,500",Residential Lot,TBD Hamilton Way,Conway,29526,,,,
withdrawn,1209972,"$12,500",Boat Slip - Sale,4603 Lightkeepers Way,Little River,29566,,,,
withdrawn,1712128,"$12,500",Business,10793 Highway 707,Murrells Inlet,29576,,,,
withdrawn,1200062,"$12,500",Residential Lot,LOT 114 Arrowhead Grande,Myrtle Beach,29579,,,,
withdrawn,1108292,"$12,500",Residential Lot,TBD South Bend St.,Loris,29569,,,,
withdrawn,1205939,"$12,700",Residential Lot,1017 E Isle of Palms Dr.,Myrtle Beach,29579,,,,
withdrawn,1009523,"$12,900",Manufactured Lot,S26 N Side Dr.,Longs,29568,,,,
withdrawn,1321616,"$12,900",Residential Lot,Lot 18 Woodcreek Ct.,Conway,29527,,,,
withdrawn,1305528,"$12,900",Manufactured Lot,646 Summer Dr.,Conway,29526,,,,
withdrawn,1211084,"$12,900",Residential Lot,LOT 674 Bouquets Green Way,Myrtle Beach,29579,,,,
withdrawn,1216282,"$12,900",Residential Lot,Middleton View Dr.,Myrtle Beach,29579,,,,
withdrawn,1008554,"$12,900",Residential Lot,LOT 106 Woodland Dr.,Loris,29569,,,,
withdrawn,1214260,"$12,900",Residential Lot,Lot 33 Pecan Grove Blvd.,Conway,29527,,,,
withdrawn,1504388,"$12,900",Manufactured Lot,Lot 4 Lucas Bay Rd.,Conway,29527,,,,
withdrawn,1504387,"$12,900",Manufactured Lot,Lot 3 Lucas Bay Rd.,Conway,29527,,,,
withdrawn,1214238,"$12,900",Residential Lot,Lot 6 Pecan Grove Blvd.,Conway,29527,,,,
withdrawn,1010262,"$12,900",Manufactured Lot,Lot 1 Southern Living Ln.,Conway,29526,,,,
withdrawn,1504385,"$12,900",Manufactured Lot,Lot 2 Lucas Bay Rd.,Conway,29527,,,,
withdrawn,1504381,"$12,900",Manufactured Lot,Lot 1 Lucas Bay Rd.,Conway,29527,,,,
withdrawn,1100650,"$12,999",Residential Lot,Lot 506 East Isle of Palms Ave.,Myrtle Beach,29579,,,,
withdrawn,1623805,"$13,000",Residential Lot,18 Old Tram Rd.,Little River,29566,,,,
withdrawn,917990,"$13,000",Residential Lot,Lot A-2 Pint Circle,Longs,29568,,,,
withdrawn,1212015,"$13,000",Residential Lot,Lot B Crestwood Rd.,Conway,29526,,,,
withdrawn,1212014,"$13,000",Residential Lot,Lot A Crestwood Rd.,Conway,29526,,,,
withdrawn,1001482,"$13,000",Manufactured Leased Land,4107 Kim Circle,Conway,29526,2,1,0,
withdrawn,1312270,"$13,000",Boat Slip - Sale,4605 Lightkeepers Way,Little River,29566,,,,
withdrawn,1002742,"$13,000",Residential Lot,Lot Waterway Palms Blvd.,Myrtle Beach,29579,,,,
withdrawn,1506500,"$13,000",Manufactured Leased Land,616 D St.,Conway,29527,2,2,0,$165
withdrawn,1307529,"$13,000",Residential Lot,Lot 9 Rue de Jean Ave.,Myrtle Beach,29579,,,,
withdrawn,1815380,"$13,000",Residential Lot,4255 Harrelson Ave.,Loris,29569,,,,
withdrawn,1011898,"$13,000",Retail,586 Highway 701,Loris,29569,,,,
withdrawn,1308997,"$13,000",Residential Lot,Lot 2 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1308227,"$13,000",Residential Lot,Lot 1 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1308989,"$13,000",Residential Lot,Lot 6 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1308987,"$13,000",Residential Lot,Lot 7 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1308995,"$13,000",Residential Lot,Lot 8 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1308998,"$13,000",Residential Lot,Lot 9 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1308999,"$13,000",Residential Lot,Lot 10 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1309032,"$13,000",Residential Lot,Lot 11 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1309033,"$13,000",Residential Lot,Lot 12 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1309034,"$13,000",Residential Lot,Lot 13 Floyd Page Rd.,Galivants Ferry,29544,,,,
withdrawn,1501387,"$13,056",Office,166 Co Op Rd.,Myrtle Beach,29588,,,,
withdrawn,2202886,"$13,500",Hospitality,959 Lake Arrowhead Rd.,Myrtle Beach,29572,,,,
withdrawn,1500885,"$13,500",Residential Lot,1-A Woodcreek Ln.,Conway,29527,,,,
withdrawn,1012613,"$13,500",Manufactured Leased Land,19 Buccaneer St.,Murrells Inlet,29576,2,2,0,
withdrawn,2301495,"$13,500",Manufactured Leased Land,5979 Pleasant View Church Rd.,Nichols,29581,3,2,0,$0
withdrawn,1301597,"$13,500",Residential Lot,Lot 7 Dunbar St.,Myrtle Beach,29577,,,,
withdrawn,1303432,"$13,500",Acreage,Lot 8 Joyner Crossing,Galivants Ferry,29544,,,,
withdrawn,1303431,"$13,500",Acreage,Lot 7 Joyner Crossing,Galivants Ferry,29544,,,,
withdrawn,1309999,"$13,674",Commercial - Do Not Use,1890 Mr. Joe White Ave.,Myrtle Beach,29577,,,,
withdrawn,1117573,"$13,799",Residential Lot,Lot 163 Atlantic Rd.,Myrtle Beach,29579,,,,
withdrawn,1609003,"$13,800",Residential Lot,3298 Daisy Rd.,Loris,29569,,,,
withdrawn,2306847,"$13,888",Retail,1410 N Ocean Blvd.,Myrtle Beach,29577,,,,
withdrawn,1212051,"$13,900",Residential Lot,TBD Ralph Rd.,Galivants Ferry,29544,,,,
withdrawn,1314825,"$13,900",Residential Lot,Lot 3 Estate Dr.,Conway,29526,,,,
withdrawn,1718063,"$13,900",Acreage,TBD Bryants Landing Rd.,Conway,29526,,,,
withdrawn,1515000,"$13,900",Residential Lot,TBD PEE DEE HWY.,Conway,29527,,,,
withdrawn,1605308,"$13,900",Condo,2101 S South Ocean Blvd.,North Myrtle Beach,29582,2,2,0,$122
withdrawn,1605310,"$13,900",Condo,2100 S Ocean Blvd.,North Myrtle Beach,29582,2,2,0,$122
withdrawn,1307530,"$13,999",Residential Lot,Lot 691 East Isle of Palms Ave.,Myrtle Beach,29579,,,,
withdrawn,1201398,"$13,999",Acreage,Lot 198 Crystal Water Way,Myrtle Beach,29579,,,,
withdrawn,1418064,"$14,000",Residential Lot,TBD Old Tram Rd.,Little River,29566,,,,
withdrawn,1109480,"$14,000",Residential Lot,146 Hamilton Way,Conway,29526,,,,
withdrawn,1302767,"$14,000",Acreage,Tract G Tallwoods Preserve,Longs,29568,,,,
withdrawn,1301816,"$14,000",Manufactured Leased Land,7545 Aubrey Ln.,Myrtle Beach,29588,2,2,0,$230
withdrawn,1904360,"$14,000",Residential Lot,Acline Ave.,Myrtle Beach,29577,,,,
withdrawn,1423085,"$14,000",Acreage,TBD Johnson Shortcut Rd.,Conway,29527,,,,
withdrawn,913918,"$14,000",Acreage,15 Mile Bay Rd.,Nichols,29581,,,,
withdrawn,2313004,"$14,000",Residential Lot,2 Thompson St.,Conway,29526,,,,
withdrawn,1203354,"$14,450",Residential Lot,Lot 142 West Palms Dr.,Myrtle Beach,29579,,,,
withdrawn,1317395,"$14,500",Residential Lot,Lot 3 San Andres Way,Little River,29566,,,,
withdrawn,1317393,"$14,500",Residential Lot,Lot 2 San Andres Way,Little River,29566,,,,
withdrawn,1317391,"$14,500",Residential Lot,Lot 1 San Andres Way,Little River,29566,,,,
withdrawn,918224,"$14,500",Residential Lot,410 Turtlehead Dr.,Longs,29568,,,,
withdrawn,1020868,"$14,500",Residential Lot,TBD Hucks Rd.,Conway,29526,,,,
withdrawn,1516694,"$14,500",Residential Lot,TBD Elliot Rd.,Green Sea,29545,,,,
withdrawn,1610097,"$14,500",Residential Lot,lot 6 Green Sea Rd.,Loris,29569,,,,
withdrawn,2015713,"$14,500",Residential Lot,Lot 1 Dinkler Ave.,Loris,29569,,,,
withdrawn,1613014,"$14,500",Residential Lot,1710 Brown St.,Conway,29527,,,,
withdrawn,1116654,"$14,500",Manufactured Leased Land,1637 Moonlight Dr.,Myrtle Beach,29577,2,1,1,$360
withdrawn,1819290,"$14,750",Residential Lot,570 Timber Creek Dr.,Loris,29569,,,,
withdrawn,1306813,"$14,900",Residential Lot,LOT 118 Monterry Dr.,Longs,29568,,,,
withdrawn,918675,"$14,900",Residential Lot,TBD Blue Jacket Dr.,Aynor,29511,,,,
withdrawn,1306757,"$14,900",Residential Lot,LOT 127 Balsa Dr.,Longs,29568,,,,
withdrawn,1307569,"$14,900",Manufactured with Land,3859 Stern Dr.,Conway,29526,3,2,0,$10
withdrawn,1819165,"$14,900",Residential Lot,TBD Edge Rd.,Little River,29566,,,,
withdrawn,1213549,"$14,900",Residential Lot,411 Shady Ln.,Conway,29526,,,,
withdrawn,1420830,"$14,900",Residential Lot,Cherry Circle Bay Dr.,North Myrtle Beach,29582,,,,
withdrawn,1209951,"$14,900",Residential Lot,0.60 Acres Nixon Ave.,Conway,29527,,,,
withdrawn,916559,"$14,900",Residential Lot,179 Whispering Oaks Dr.,Longs,29568,,,,
withdrawn,1017909,"$14,900",Manufactured Leased Land,22 Poolside Dr.,Murrells Inlet,29576,3,2,0,$330
withdrawn,169693,"$14,900",Residential Lot,2201 Highway 746,Loris,29569,,,,
withdrawn,1416680,"$14,900",Manufactured Leased Land,151 Crooked Island Circle,Murrells Inlet,29576,2,1,1,$350
withdrawn,1217291,"$14,900",Condo,610 Putters Ln.,Little River,29566,Efficiency,1,0,$270
withdrawn,1514755,"$14,900",Manufactured Leased Land,1521 Capella Ln.,Myrtle Beach,29575,2,1,0,$335
withdrawn,1308281,"$14,900",Manufactured Leased Land,1915 Afifi Ct.,Conway,29526,3,2,0,$175
withdrawn,923664,"$14,900",Residential Lot,tbd Highway 57,Longs,29568,,,,
withdrawn,1317938,"$14,900",Residential Lot,4010 Cordoba Dr.,Conway,29526,,,,
withdrawn,1317939,"$14,900",Residential Lot,4019 Cordoba Dr.,Conway,29526,,,,
withdrawn,1400332,"$14,900",Manufactured Lot,9953 nw NW Lakeswamp Rd.,Nichols,29581,,,,
withdrawn,1726329,"$14,900",Residential Lot,0 9th Ave. N,Conway,29527,,,,
withdrawn,1401866,"$14,900",Residential Lot,TBD Clearwind Ct.,Galivants Ferry,29544,,,,
withdrawn,1925151,"$14,900",Manufactured Lot,Lot 2 TBD Watts Rd.,Loris,29569,,,,
withdrawn,1507502,"$14,900",Residential Lot,Lot 3 Highway 139,Loris,29569,,,,
withdrawn,1114075,"$14,999",Residential Lot,Lot 456 East Isle of Palms Ave.,Myrtle Beach,29579,,,,
withdrawn,1008924,"$14,999",Residential Lot,Lot 2 Racepath St.,Conway,29526,,,,
withdrawn,1802041,"$15,000",Residential Lot,Hwy 905 S Highway 905,Longs,29568,,,,
withdrawn,915073,"$15,000",Residential Lot,Lot #3 Old Buck Creek Rd.,Longs,29568,,,,
