Address,Area,City,Class,Keyword1,Keyword2,Keyword3,StatusID,SystemPrice,Type,Zip,_DisplayId,_ID,display_id,int2_3,Category
4728 Northgate Blvd.,16G Myrtle Beach Area--Southern Limit to 10TH Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,400,Office,29577,1019299,1019299:0,1019299,,WITHDRAWN
11915 Plaza Dr.,27A Garden City Mainland & Pennisula,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,400,Office,29576,813603,813603:0,813603,,WITHDRAWN
3700 Palmetto Pointe Blvd.,19A Myrtle Beach Area--Socastee,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,400,Office,29588,1616386,1616386:0,1616386,,WITHDRAWN
5276 S Hwy 17 S,40A Murrells Inlet - Georgetown County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,400,Commercial - Do Not Use,29576,1809822,1809822:0,1809822,,WITHDRAWN
5276 S Hwy 17 S,40A Murrells Inlet - Georgetown County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,400,Commercial - Do Not Use,29576,1809820,1809820:0,1809820,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,410,Office,29577,2214047,2214047:0,2214047,,WITHDRAWN
14363 Ocean Hwy.,42A Pawleys Island Area-Litchfield Mainland,Pawleys Island,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,416,Retail,29585,1407548,1407548:0,1407548,,WITHDRAWN
555 Rainbow Dr.,27A Garden City Mainland & Pennisula,Garden City Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,425,Commercial - Do Not Use,29576,1201395,1201395:0,1201395,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,425,Office,29577,2102145,2102145:0,2102145,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,425,Office,29577,2306494,2306494:0,2306494,,WITHDRAWN
4644 Katie Lynn Ct.,40A Murrells Inlet - Georgetown County,Murrells Inlet,LAND,,,,WITHDRAWN,425,Commercial Lot - Lease,29576,2019159,2019159:0,2019159,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,425,Office,29577,2428033,2428033:0,2428033,,WITHDRAWN
503 Robert M Grissom Pkwy.,16G Myrtle Beach Area--Southern Limit to 10TH Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,432,Commercial - Do Not Use,29577,1211036,1211036:0,1211036,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,435,Office,29577,1810040,1810040:0,1810040,,WITHDRAWN
